BlockTime,Miner0Proportion,Difficulty
810,742015680,0.80370,1.00000
811,744230921,0.80395,1.00000
812,745632170,0.80419,1.00000
813,745920394,0.80443,1.00000
815,748882401,0.80368,1.00000
816,750061107,0.80392,1.00000
822,756718328,0.79927,1.00000
823,756881555,0.79951,1.00000
824,758160382,0.79976,1.00000
825,759782489,0.80000,1.00000
826,760698981,0.80024,1.00000
827,761663050,0.80048,1.00000
828,763416900,0.80072,1.00000
830,765730173,0.79759,1.00000
831,765950949,0.79783,1.00000
832,768628166,0.79808,1.00000
833,769815883,0.79832,1.00000
834,772127119,0.79856,1.00000
835,773797832,0.79880,1.00000
836,773838038,0.79904,1.00000
837,774873310,0.79928,1.00000
838,774942603,0.79952,1.00000
839,774987165,0.79976,1.00000
840,778145008,0.80000,1.00000
841,779036263,0.80024,1.00000
842,779435950,0.80048,1.00000
843,780789064,0.80071,1.00000
844,780878052,0.80095,1.00000
845,781565735,0.80118,1.00000
846,781701239,0.80142,1.00000
847,783400282,0.80165,1.00000
848,784080755,0.80189,1.00000
849,784984949,0.80212,1.00000
850,785024813,0.80235,1.00000
851,785565073,0.80259,1.00000
852,787921088,0.80282,1.00000
853,789256553,0.80305,1.00000
854,789708184,0.80328,1.00000
855,792090500,0.80351,1.00000
856,792976894,0.80374,1.00000
857,793528551,0.80397,1.00000
858,793570067,0.80420,1.00000
859,794042706,0.80442,1.00000
860,794724515,0.80465,1.00000
861,795963346,0.80488,1.00000
862,797170382,0.80510,1.00000
865,801457988,0.80347,1.00000
867,803872773,0.80161,1.00000
868,804409955,0.80184,1.00000
869,806756881,0.80207,1.00000
871,808438260,0.80138,1.00000
872,809238742,0.80161,1.00000
873,810116329,0.80183,1.00000
874,810894386,0.80206,1.00000
875,812886005,0.80229,1.00000
876,813005085,0.80251,1.00000
877,814300575,0.80274,1.00000
878,814715689,0.80296,1.00000
879,815156117,0.80319,1.00000
880,816201341,0.80341,1.00000
881,817133545,0.80363,1.00000
883,819459227,0.80294,1.00000
884,820070044,0.80317,1.00000
885,821098952,0.80339,1.00000
886,821431660,0.80361,1.00000
887,822626142,0.80383,1.00000
888,823777994,0.80405,1.00000
889,823878724,0.80427,1.00000
890,825138184,0.80449,1.00000
891,825163693,0.80471,1.00000
892,825269186,0.80493,1.00000
893,825816115,0.80515,1.00000
894,826263819,0.80537,1.00000
895,827502835,0.80559,1.00000
896,827759102,0.80580,1.00000
897,827889731,0.80602,1.00000
898,828931434,0.80624,1.00000
899,829834811,0.80645,1.00000
900,830692684,0.80667,1.00000
902,833578185,0.80599,1.00000
906,836150452,0.80243,1.00000
909,840550081,0.79978,1.00000
910,841126145,0.80000,1.00000
911,841270552,0.80022,1.00000
912,842525764,0.80044,1.00000
913,842826184,0.80066,1.00000
914,843409490,0.80088,1.00000
915,843694200,0.80109,1.00000
917,845827264,0.80044,1.00000
918,847970431,0.80065,1.00000
921,850218219,0.79805,1.00000
922,850406224,0.79826,1.00000
923,851818377,0.79848,1.00000
924,853198433,0.79870,1.00000
925,853226265,0.79892,1.00000
926,854387274,0.79914,1.00000
927,855409598,0.79935,1.00000
928,855433621,0.79957,1.00000
929,855823869,0.79978,1.00000
930,856586142,0.80000,1.00000
933,859511750,0.79850,1.00000
934,863001196,0.79872,1.00000
935,863988986,0.79893,1.00000
936,864041275,0.79915,1.00000
937,865472553,0.79936,1.00000
938,865919852,0.79957,1.00000
939,871554470,0.79979,1.00000
940,872319658,0.80000,1.00000
941,873060282,0.80021,1.00000
942,874217159,0.80042,1.00000
943,875196818,0.80064,1.00000
947,880580226,0.79831,1.00000
948,882067154,0.79852,1.00000
949,884204450,0.79874,1.00000
950,884471435,0.79895,1.00000
951,888106789,0.79916,1.00000
952,889379235,0.79937,1.00000
954,892239582,0.79665,1.00000
956,894024012,0.79498,1.00000
958,897385320,0.79436,1.00000
959,898064313,0.79458,1.00000
960,899016786,0.79479,1.00000
961,900292881,0.79501,1.00000
963,902955702,0.79439,1.00000
964,903376564,0.79461,1.00000
973,911672687,0.78828,1.00000
974,912251214,0.78850,1.00000
975,912712231,0.78872,1.00000
976,914499886,0.78893,1.00000
978,917818784,0.78834,1.00000
979,918295270,0.78856,1.00000
980,918670505,0.78878,1.00000
981,919645662,0.78899,1.00000
983,921584976,0.78840,1.00000
984,922972082,0.78862,1.00000
985,923488068,0.78883,1.00000
986,923755981,0.78905,1.00000
987,924562803,0.78926,1.00000
988,924907389,0.78947,1.00000
989,926008189,0.78969,1.00000
990,927835926,0.78990,1.00000
991,927861330,0.79011,1.00000
992,927885510,0.79032,1.00000
993,928810880,0.79053,1.00000
994,930465924,0.79074,1.00000
995,930645182,0.79095,1.00000
996,931413721,0.79116,1.00000
997,932823437,0.79137,1.00000
998,933012424,0.79158,1.00000
999,933139738,0.79179,1.00000
1000,933435413,0.79200,1.00000
1001,934533332,0.79221,1.00000
1003,936734387,0.79163,1.00000
1004,937176115,0.79183,1.00000
1005,937849138,0.79204,1.00000
1006,938655295,0.79225,1.00000
1007,939060751,0.79245,1.00000
1008,939630851,0.79266,1.00000
1009,940068696,0.79286,1.00000
1010,940206242,0.79307,1.00000
1011,940466332,0.79327,1.00000
1012,941264105,0.79348,1.00000
1013,942773335,0.79368,1.00000
1014,942815836,0.79389,1.00000
1015,943547523,0.79409,1.00000
1016,944694972,0.79429,1.00000
1018,947584038,0.79371,1.00000
1020,950484839,0.79216,1.00000
1022,952558871,0.79159,1.00000
1023,954563837,0.79179,1.00000
1026,956869333,0.78850,1.00000
1027,957308162,0.78870,1.00000
1028,958721021,0.78891,1.00000
1029,960583496,0.78912,1.00000
1030,962492135,0.78932,1.00000
1031,962540868,0.78952,1.00000
1032,964412320,0.78973,1.00000
